id,text,source,reply_screen_name,user_id,user_screen_name,user_location,followers_count,friends_count,listed_count,user_created_at,fav_counts,verified,user_lang,retweet_count,favorite_count,lang,sentiment,State
1054884153219440640,Panda Express and touch buttholes?,Twitter for iPhone,,1046202891025833984,burning_last,Left coast,611,528,4,2018-09-30 00:59:41,6481,False,en,0,2,en,0.0,CO
1054883705670565888,RT @Naimahhhhh: Y’all still out here acting like Panda Express is good?,Twitter for iPhone,,169279191,GottaLoveTS,Posted up in the 410,4066,1693,129,2010-07-21 23:53:25,5405,False,en,9,0,en,0.35,IN
1054882391800524800,"I remember being a lil freshman worried about being tardy. Now I’m like, oh it’s 27 seconds past the bell? Welp I m… https://t.co/TrF43EETKH",Twitter for iPhone,,1046476443272732672,6ia6ia,503,116,418,0,2018-09-30 19:06:41,1168,False,en,1,4,en,-0.25,-
1054881980993626123,Will I’m so happy to you and Panda Express Chinese food it was so good ,Twitter for iPhone,,1028906246471016449,KellyChoularto9,,42,295,0,2018-08-13 07:29:00,335,False,en,0,0,en,0.5,-
1054880223504752641,do i get panda express or chick fil a,Twitter for iPhone,,2868664998,warofhrmne,10/06,1105,235,19,2014-10-21 09:17:25,114776,False,en,0,0,en,0.0,-
1054879707471200258,RT @Official_TOE: @Tricey_J_ Everything from Panda Express is trash,Twitter for iPhone,,63240719,5_9feline,,1169,624,7,2009-08-05 20:08:51,1667,False,en,1,0,en,0.0,-
1054879425592877056,@Official_TOE @Tricey_J_ &amp; Tricey didn’t even go to Panda Express. It’s called Little Panda Chinese Express. It’s n… https://t.co/11vIKUVcPt,Twitter for iPhone,Official_TOE,237225169,MAMA_NISHIA,NOLA,2113,1340,38,2011-01-12 10:57:04,1229,False,en,0,0,en,-0.09375,-
1054879307707924480,rlly want panda express,Twitter for iPhone,,1049138906191593473,tracielynn04,810,143,426,0,2018-10-08 03:26:22,410,False,en,0,4,en,0.0,-
1054878474815619073,I really don’t appreciate how Panda Express in the PSU rarely has string bean chicken. Fried chicken makes me feel… https://t.co/E7RYzSygAv,Twitter for iPhone,,2324353736,sharleegunther,"Springfield, MO",184,742,5,2014-02-02 20:57:04,12272,False,en,0,0,en,-0.175,MO
1054878393521631232,@DougPlagens @AlexDonno @560WQAM @AZAdrianDenny Do they have Panda Express in the city?,Twitter for Android,DougPlagens,2969202087,HardleyKurt,,122,149,1,2015-01-09 05:33:37,1597,False,en,0,2,en,0.0,-
1054877931896496128,I wanna go to Panda Express,Twitter for iPhone,,2819024142,Toni_snider,"Cambridge, OH",584,381,3,2014-09-19 03:37:16,4375,False,en,0,3,en,0.0,OH
1054877849537167360,Unpopular opinion: I don’t like Panda Express,Twitter for iPhone,,800989675,riahrooh,Charlottesville,473,483,2,2012-09-03 18:49:33,105219,False,en,1,4,en,0.0,-
1054877817442189312,@Tricey_J_ Everything from Panda Express is trash,Twitter for iPhone,Tricey_J_,143216895,Official_TOE,Somewhere in New Orleans,1272,1057,2,2010-05-12 22:31:41,4228,False,en,1,0,en,0.0,IN
1054877427178950656,I want some Panda Express but I refuse to leave,Twitter Lite,,531347278,roneshaa_lovee,,949,276,0,2012-03-20 15:21:04,7306,False,en,0,0,en,0.0,-
1054877020264509440,"RT @magicalxme: I like how I claim to not like Panda Express at all, but still eat there twice a week because I want noodles.",Twitter Web Client,,825437696327827456,BrightestWhich,,1,8,0,2017-01-28 20:17:37,57,False,en,1,0,en,0.0,-
1054876934985924609,RT @Joner_Stoner: Nothing looks better than a full plate of Panda Express,Twitter for iPhone,,472361249,alexshapiro135,w/ melissaology,1571,530,21,2012-01-23 21:34:42,162385,False,en,1,0,en,0.425,ME
1054876302409433088,I ain’t gon lie them coconut shrimp from Panda Express ,Twitter for iPhone,,1923927044,Tricey_J_,,1498,458,29,2013-10-01 16:23:22,4213,False,en,0,0,en,0.0,-
1054876094963294208,Why’d Panda Express try and charge me $19 for some shrimp and noodles lmao. Drove my fat ass away,Twitter for iPhone,,405503512,caleb_jjohnson,"Indianapolis, IN",183,97,3,2011-11-05 12:05:34,4590,False,en,0,4,en,0.6,IN
1054875518787567616,Not even Panda Express? https://t.co/eoMfH6znq0,Twitter for iPhone,,879508966656684032,Hauteseok_,,39,120,1,2017-06-27 01:17:32,2470,False,en,0,0,en,0.0,-
1054875072551378945,RT @HuntBray: We need a Panda Express in Eastgate. Thank you for coming to my Ted Talk.,Twitter for iPhone,,1970090478,Nathan_Eckert,,452,307,1,2013-10-19 02:35:52,7277,False,en,8,0,en,0.0,-
1054874901222318080,"I got me some free Panda Express, easiest bet I've ever done ",Twitter for Android,,1010734094274052097,reneetxo_,,29,33,0,2018-06-24 03:59:21,245,False,en,0,0,en,0.4,-
1054874553002930176,@emily_foor4 since this is coming from a person who has just now eaten panda express after living on this earth for 16 years,Twitter for iPhone,emily_foor4,3303685679,justindore0,,356,281,0,2015-05-30 13:23:19,1378,False,en,0,3,en,0.0,-
1054874404461654016,RT @AceyChu: My future job is working at Panda Express according to @Unicorn_Mann,Twitter for Android,,1010879181033525248,xLilyBoo_,chi,180,88,0,2018-06-24 13:35:52,10911,False,en,2,0,en,0.0,-
1054874325285691392,RT @yoitsmakayla01: Tbh I want Panda Express,Twitter for iPhone,,4061923033,kamrynnnnnnnnnn,"Santa Rosa, TX",206,159,0,2015-10-29 21:57:11,1786,False,en,12,0,en,0.0,TX
1054873771847356416,RT @AceyChu: My future job is working at Panda Express according to @Unicorn_Mann,Twitter for iPhone,,1893738193,ThatProgrammerr,"West Yorkshire, England",1464,179,2,2013-09-22 13:12:40,13753,False,en,2,0,en,0.0,-
1054873737827401728,My future job is working at Panda Express according to @Unicorn_Mann,Twitter Web Client,,753332856500416512,AceyChu,United States,1344,416,3,2016-07-13 20:58:44,16155,False,en,2,22,en,0.0,-
1054873409551765506,"@JaykMan80 None of the above, Panda Express will have to suffice ",Twitter for iPhone,JaykMan80,4831594797,jillblacksheep,"Omaha, NE",129,310,8,2016-01-21 03:42:17,3068,False,en,0,2,en,0.0,NE
1054873237027516416,Panda Express sound good right about now.,Twitter for iPhone,,915670709086584833,kyliejjordan77,,28,25,0,2017-10-04 20:11:24,174,False,en,0,0,en,0.4619047619047619,-
1054872228599341057,"RT @SHSFalconClub: Tomorrow, October 23rd, is Staley Cheer Night at Panda Express from 4:00-9:00pm https://t.co/i5iFmjKNle",Twitter for iPad,,31043218,AdeleHN,"Phoenix, AZ",421,647,32,2009-04-14 03:13:11,29112,False,en,5,0,en,0.0,AZ
